X,Y,OBJECTID,Loc_name,REG,NAM,LOC,TYP,TYP2,TYPA,LOC2,ADD_,ADD2,CTY,ST,ZIP,ZIP4,PH,GlobalID
-78.4937906378677,38.0636676449096,30,Address_Points,Central,Central Virginia SBDC,Charlottesville,Services, ,S, ,2211 Hydraulic Road,Suite 107,Charlottesville,VA,22901,0,(434) 295-8198,{349DAE4D-9C3F-4B80-A8CF-DEE16D422252}
-77.9924327453139,38.4925427378072,31,Address_Points,Central,Lord Fairfax SBDC - Culpeper,Culpeper,Services, ,S,EDC,101 Duke Street,Suite 116,Culpeper,VA,22701,0,(540) 727-0638,{1CE32740-CDEB-4B33-8D11-53E6C51D2597}
-77.7836228288673,38.6817358544676,32,Address_Points,Central,Lord Fairfax SBDC - Fauquier,Fauquier,Services, ,S,Lord Fairfax Community College,6480 College Street, ,Warrenton,VA,20187,8820,(540) 351-1595,{96F07B98-6318-4709-82E5-4EDA67DCBB43}
-78.8721380810877,38.4474590690013,33,Street_Address,Central,Shenandoah Valley SBDC,Harrisonburg,Services,Events,SE,,127 West Bruce Street,JMU MSC 5502,Harrisonburg,VA,22801,0,(540) 568-3227,{5164962B-744E-44A2-A4D2-6481349E0D0C}
-78.2700108471996,39.0357484767958,34,Street_Address,Central,Lord Fairfax SBDC,Middletown,Services,Events,SE,Corron Community Development Center,173 Skirmisher Lane,Suite 109,Middletown,VA,22645,1745,(540) 868-7093,{9EDD1639-3131-48A7-BF60-13239D4A9380}
-77.4360441137522,37.5376083330741,35,Street_Address,Central,Greater Richmond SBDC,Richmond,Services, ,S,,919 East Main Street,Suite 1700,Richmond,VA,23219,0,(804) 783-9310,{D5F1DF8D-84E8-4613-846C-7DB4385C47C4}
-75.7522950095004,37.6363582399112,36,Street_Address,Hampton Roads,Eastern Shore SBDC,Melfa,Services, ,S,Eastern Shore of Virginia Chamber of Commerce,19056 Parkway, ,Melfa,VA,23410,133,(757) 789-3418,{D16D96C1-3E4A-4E18-A323-48964B7B2A5F}
-76.2888846151286,36.8457730526119,37,Street_Address,Hampton Roads,Hampton Roads SBDC,Norfolk,Services, ,S,"Hampton Roads Chamber of Commerce, BB&T Building",500 East Main Street,Suite 700,Norfolk,VA,23510,0,(757) 664-2595,{4307C910-3BDF-45A7-B401-0D88670C938B}
-76.5826767019625,36.727481744194,38,Address_Points,Hampton Roads,Suffolk SBDC,Suffolk,Services, ,S,Economic Development Department,127 East Washington Street, ,Suffolk,VA,23434,0,(757) 664-2613,{BCE69CE2-3B0E-47E5-A9B3-7FAEA77B34E1}
-76.7404970129254,37.2807114816726,39,Street_Address,Hampton Roads,Williamsburg SBDC,Williamsburg,Services, ,S,Greater Williamsburg Chamber and Tourism Alliance,4345 New Town Avenue,Suite 200,Williamsburg,VA,23188,0,(757) 565-4373,{8E0058CD-E443-496E-9FC3-144DD71FA87B}
-77.0450903643723,38.8111393559716,40,Address_Points,Potomac,Alexandria SBDC,Alexandria,Services, ,S,Exploration Hall,625 North Washington Street,Suite 400,Alexandria,VA,22314,0,(703) 778-1292,{FF5F58C9-3729-4279-AFCD-A3EBA64AEF43}
-77.3050934386808,38.8445401728516,41,Address_Points,Potomac,Mason SBDC,Fairfax,Services,Events,SE, ,4031 University Drive,Suite 100,Fairfax,VA,22030,0,(703) 277-7747,{1708C820-92AC-4944-B49E-0EF87E7182E7}
-77.4794525340702,38.3072165775764,42,Street_Address,Potomac,University of Mary Washington SBDC,Fredericksburg,Services,Events,SE, ,1125 Jefferson Davis Highway,Suite 400,Fredericksburg,VA,22401,0,(540) 654-1096,{B97253FD-10AD-4935-BDB1-94DE2638ED4C}
-77.563666606344,39.1130597881561,43,Address_Points,Potomac,SBDC at MEC-Leesburg,Leesburg,Services, ,S,University of Mary Washington,202 Church Street SE,Suite 100,Leesburg,VA,20175,3006,(703) 430-7222,{C0B8A8C0-3FF3-49C2-9684-F5AE4C429BE8}
-77.1824873424918,38.7652503842495,44,Street_Address,Potomac,SBDC at CBP,Springfield,Services, ,S, ,7001 Loisdale Road,Suite C,Springfield,VA,22150,0,(703) 768-1440,{0D82D9A4-D513-40C7-A36F-855C86CD4756}
-76.7550483950033,37.9644399423343,45,Street_Address,Potomac,University of Mary Washington SBDC - Warsaw,Warsaw,Services, ,S, ,479 Main Street, ,Warsaw,VA,22572,490,(804) 333-0286,{35D6743F-4370-49D6-9A25-18C762F1768B}
-79.4052702086464,36.5650045443247,46,Street_Address,Southern,Longwood SBDC - Danville,Danville,Services, ,S, ,1008 South Main Street,"Taylor Bldg, Suite 105",Danville,VA,24541,0,(434) 797-8482,{C8B70E4D-9050-44ED-A15B-D7D8F9731251}
-78.3946361033522,37.3034555981672,47,Street_Address,Southern,Longwood SBDC - Farmville,Farmville,Services, ,S,Longwood University,315 West Third Street, ,Farmville,VA,23901,0,(434) 395-2086,{AE1E205C-D4F1-47D7-A78C-2EB05BEECC08}
-79.8718745983168,36.6891109930309,48,Street_Address,Southern,Longwood SBDC - Martinsville,Martinsville,Services, ,S,Martinsville/Henry County Chamber of Commerce,115 Broad Street, ,Martinsville,VA,24114,709,(276) 632-4462,{39894F7E-EA82-47CD-A762-9B02B9025510}
-77.3844405496932,37.201649355765,49,Address_Points,Southern,Crater SBDC of Longwood University,Petersburg,Services, ,S, ,1964 Wakefield Street, ,Petersburg,VA,23805,808,(804) 518-2003,{E0E3B291-0E89-4AB2-9F6F-2B96CA0C54EC}
-78.9023790347341,36.6955650373207,50,Street_Address,Southern,Longwood SBDC - South Boston,South Boston,Services, ,S, ,820 Bruce Street, ,South Boston,VA,24592,0,(434) 572-5444,{C3BEC40D-11AD-4848-8B54-213F039FD62E}
-82.0009732661336,36.6999079675624,51, ,Southwest,Virginia Highlands SBDC,Abingdon,Services, ,S,Virginia Highlands Community College,100 VHCC Drive, ,Abingdon,VA,24210,0,(276) 739-2474,{A33CC63B-D1E5-43D7-B96D-9E6010EB9EF4}
-82.7569275215996,36.8549458959232,52,Street_Address,Southwest,Mountain Empire SBDC,Big Stone Gap,Services, ,S,Phillips-Taylor Hall,3441 Mountain Empire Rd, ,Big Stone Gap,VA,24219,4634,(276) 523-6529,{23D8C05A-0CE4-4013-9990-7ED5415552D3}
-80.9299542616484,36.6578235325018,53,Street_Address,Southwest,Blue Ridge Crossroads SBDC,Galax,Services, ,S,The Crossroads Institute,1117 East Stuart Drive, ,Galax,VA,24333,0,(276) 236-0435,{93472555-10BC-4DED-A38E-45E8BEB47FF2}
-80.550456124109,37.1340876271646,54, ,Southwest,Radford SBDC,Radford,Services, ,S, ,701 Tyler Avenue,#231,Radford,VA,24142,0,(540) 831-6056,{C86AD32A-C06C-41F7-A326-FEFC9FDD7120}
-81.7953873394982,37.0057871627019,55,Google_Maps,Southwest,Southwest Virginia SBDC,Cedar Bluff,Services, ,S,Southwest Virginia Community College,724 Community College Road, ,Cedar Bluff,VA,24609,0,(276) 964-7345,{D547966C-0E56-4AF8-B927-C75AF195C987}
-79.9402785688107,37.2713916984496,56,Address_Points,Southwest,Roanoke Regional SBDC,Roanoke,Services,Events,SE,Chamber of Commerce Building,210 South Jefferson Street, ,Roanoke,VA,24011,1702,(540) 983-0717,{7D90FB7B-911B-48B0-8F9B-A98FD2D1D13A}
-76.4148651508363,37.0618820880007,57,Street_Address,Hampton Roads,Hampton SBDC,Hampton,Services, ,S,Thomas Nelson Community College,600 Butler Farm Road,"Suite A, Room 1105",Hampton,VA,23666,1564,(757) 865-3126,{F0BA9E25-47F2-42DD-AE71-66F6B98F6274}
-79.1838117630691,37.3586468178568,58,Street_Address,Southern,SBDC at Central Virginia Community College,Lynchburg,Services, ,S, ,3506 Wards Road,Merritt Hall,Lynchburg,VA,24502,2498,(434) 832-7824,{FD9721BF-D9DF-485A-9011-7B38F37D636A}
